building_room,case_number,slot_number,equipment_type,asset_tag,clean_asset_tag,serial_number,mac_address,manufacturer,model,model_code,case_helper,slot_helper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1,1-29,Laptop,DDC4CY-002596,DDC4CY002596,46NH014,10-98-19-4A-50-F5,Dell,Precision 7680,2250,1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1,1-30,Laptop,DDC4CY-002632,DDC4CY002632,5YMH014,10-98-19-4A-52-12,Dell,Precision 7680,2250,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,2-1,Laptop,DDC4CY-002659,DDC4CY002659,3PMH014,10-98-19-4A-51-FE,Dell,Precision 7680,2250,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,2-2,Laptop,DDC4CY-002599,DDC4CY002599,5JLH014,10-98-19-4A-52-84,Dell,Precision 7680,2250,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,2-3,Laptop,DDC4CY-002583,DDC4CY002583,JFNH014,10-98-19-4A-65-D3,Dell,Precision 7680,2250,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,2-4,Laptop,DDC4CY-002618,DDC4CY002618,5ZLH014,10-98-19-4A-51-BF,Dell,Precision 7680,2250,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,2-5,Laptop,DDC4CY-002614,DDC4CY002614,JJLH014,10-98-19-4A-50-FA,Dell,Precision 7680,2250,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,2-6,Laptop,DDC4CY-002677,DDC4CY002677,7PLH014,10-98-19-4A-52-59,Dell,Precision 7680,2250,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,2-7,Laptop,DDC4CY-002529,DDC4CY002529,JCNH014,10-98-19-4A-51-27,Dell,Precision 7680,2250,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,2-8,Laptop,DDC4CY-002649,DDC4CY002649,3WMH014,10-98-19-4A-53-07,Dell,Precision 7680,2250,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,2-9,Laptop,DDC4CY-002734,DDC4CY002734,4PMTH54,AC-B4-80-45-6B-5A,Dell,Precision 7680,2335,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,2-10,Laptop,DDC4CY-002732,DDC4CY002732,1HMTH54,AC-B4-80-45-6B-1B,Dell,Precision 7680,2335,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,2-11,Laptop,DDC4CY-002588,DDC4CY002588,C8LH014,10-98-19-4A-52-CE,Dell,Precision 7680,2250,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,2-12,Laptop,DDC4CY-002537,DDC4CY002537,72NH014,10-98-19-4A-51-F2,Dell,Precision 7680,2250,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,2-13,Laptop,DDC4CY-002519,DDC4CY002519,7GNH014,10-98-19-4A-51-B8,Dell,Precision 7680,2250,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,2-14,Laptop,DDC4CY-002511,DDC4CY002511,1WNH014,10-98-19-4A-52-50,Dell,Precision 7680,2250,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,2-15,Laptop,DDC4CY-002755,DDC4CY002755,3RMTH54,AC-B4-80-45-6B-49,Dell,Precision 7680,2335,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,2-16,Laptop,DDC4CY-002579,DDC4CY002579,1JNH014,10-98-19-4A-51-13,Dell,Precision 7680,2250,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,2-17,Laptop,DDC4CY-002754,DDC4CY002754,BMMTH54,AC-B4-80-45-6C-55,Dell,Precision 7680,2335,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,2-18,Laptop,DDC4CY-002757,DDC4CY002757,DLMTH54,AC-B4-80-45-6B-47,Dell,Precision 7680,2335,2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
